24-06-08--18-43-26

nb_nodes=100
bsz=512
dim_emb=128
dim_ff=512
dim_input_nodes=2
nb_layers_encoder=6
nb_layers_decoder=2
nb_heads=8
nb_epochs=10000
nb_batch_per_epoch=25
nb_batch_eval=20
gpu_id=0,1
lr=0.0001
tol=0.001
batchnorm=True
max_len_PE=1000


Epoch: 131, epoch time: 0.413min, tot time: 0.053day, L_train: 9.068, L_base: 9.077, gap_train(%): 16.777, update: True
Epoch: 132, epoch time: 0.414min, tot time: 0.054day, L_train: 9.080, L_base: 9.069, gap_train(%): 16.930, update: False
Epoch: 133, epoch time: 0.415min, tot time: 0.054day, L_train: 9.077, L_base: 9.069, gap_train(%): 16.892, update: False
Epoch: 134, epoch time: 0.413min, tot time: 0.055day, L_train: 9.072, L_base: 9.070, gap_train(%): 16.827, update: False
Epoch: 135, epoch time: 0.412min, tot time: 0.055day, L_train: 9.089, L_base: 9.071, gap_train(%): 17.052, update: False
Epoch: 136, epoch time: 0.410min, tot time: 0.055day, L_train: 9.052, L_base: 9.066, gap_train(%): 16.578, update: True
Epoch: 137, epoch time: 0.410min, tot time: 0.056day, L_train: 9.074, L_base: 9.051, gap_train(%): 16.864, update: False
Epoch: 138, epoch time: 0.409min, tot time: 0.056day, L_train: 9.037, L_base: 9.051, gap_train(%): 16.386, update: True
Epoch: 139, epoch time: 0.406min, tot time: 0.057day, L_train: 9.046, L_base: 9.043, gap_train(%): 16.493, update: False
Epoch: 140, epoch time: 0.405min, tot time: 0.057day, L_train: 9.054, L_base: 9.036, gap_train(%): 16.594, update: False
Epoch: 141, epoch time: 0.406min, tot time: 0.057day, L_train: 9.082, L_base: 9.040, gap_train(%): 16.960, update: False
Epoch: 142, epoch time: 0.405min, tot time: 0.058day, L_train: 9.060, L_base: 9.043, gap_train(%): 16.673, update: False
Epoch: 143, epoch time: 0.405min, tot time: 0.058day, L_train: 9.071, L_base: 9.037, gap_train(%): 16.825, update: False
Epoch: 144, epoch time: 0.406min, tot time: 0.059day, L_train: 9.043, L_base: 9.037, gap_train(%): 16.456, update: False
Epoch: 145, epoch time: 0.404min, tot time: 0.059day, L_train: 9.043, L_base: 9.040, gap_train(%): 16.465, update: False
Epoch: 146, epoch time: 0.404min, tot time: 0.059day, L_train: 9.058, L_base: 9.039, gap_train(%): 16.649, update: False
Epoch: 147, epoch time: 0.405min, tot time: 0.060day, L_train: 9.004, L_base: 9.039, gap_train(%): 15.950, update: True
Epoch: 148, epoch time: 0.406min, tot time: 0.060day, L_train: 9.020, L_base: 9.010, gap_train(%): 16.157, update: False
Epoch: 149, epoch time: 0.406min, tot time: 0.061day, L_train: 9.045, L_base: 9.004, gap_train(%): 16.489, update: False
Epoch: 150, epoch time: 0.405min, tot time: 0.061day, L_train: 9.028, L_base: 9.003, gap_train(%): 16.267, update: False
Epoch: 151, epoch time: 0.405min, tot time: 0.061day, L_train: 9.048, L_base: 9.009, gap_train(%): 16.519, update: False
